property_type,field_key,Label,Type,Required,Default,extractability,extract_policy,source_priority,scope,evidence_types,db_write_type,match_type,match_score,candidate_tables,candidate_column,db_target_example,resolved_table,resolved_column,resolution_reason,resolved,selector_json,db_target
multifamily,property_name,Property Name,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,project_name,tbl_project.project_name,tbl_project,project_name,override_identity,True,,tbl_project.project_name
multifamily,address,Address,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,address,tbl_project.address,tbl_project,address,override_identity,True,,tbl_project.address
multifamily,city,City,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,city,tbl_project.city,tbl_project,city,override_identity,True,,tbl_project.city
multifamily,state,State,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,state,tbl_project.state,tbl_project,state,override_identity,True,,tbl_project.state
multifamily,zip_code,ZIP Code,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,zip_code,tbl_project.zip_code,tbl_project,zip_code,override_identity,True,,tbl_project.zip_code
multifamily,county,County,text,✓,Lookup,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,county,tbl_project.county,tbl_project,county,override_identity,True,,tbl_project.county
multifamily,year_built,Year Built,integer,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,year_built,tbl_multifamily_property.year_built,tbl_multifamily_property,year_built,ranked_candidates,True,,tbl_multifamily_property.year_built
multifamily,year_renovated,Year Renovated,integer,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,year_renovated,tbl_multifamily_property.year_renovated,tbl_multifamily_property,year_renovated,ranked_candidates,True,,tbl_multifamily_property.year_renovated
multifamily,building_count,Number of Buildings,integer,—,1,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,number_of_buildings,tbl_multifamily_property.number_of_buildings,tbl_multifamily_property,number_of_buildings,PATCHED_v3,True,,tbl_multifamily_property.number_of_buildings
multifamily,stories,Stories,integer,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,stories,tbl_multifamily_property.stories,tbl_multifamily_property,stories,ranked_candidates,True,,tbl_multifamily_property.stories
multifamily,total_units,Total Units,integer,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,total_units,tbl_multifamily_property.total_units,tbl_multifamily_property,total_units,ranked_candidates,True,,tbl_multifamily_property.total_units
multifamily,rentable_sf,Rentable SF,integer,—,Calc from units,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,rentable_sf,tbl_multifamily_property.rentable_sf,tbl_multifamily_property,rentable_sf,ranked_candidates,True,,tbl_multifamily_property.rentable_sf
multifamily,parking_spaces,Parking Spaces,integer,—,units × 1.5,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,parking_spaces,tbl_multifamily_property.parking_spaces,tbl_multifamily_property,parking_spaces,ranked_candidates,True,,tbl_multifamily_property.parking_spaces
multifamily,parking_type,Parking Type,text,—,Surface,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,parking_type,tbl_multifamily_property.parking_type,tbl_multifamily_property,parking_type,ranked_candidates,True,,tbl_multifamily_property.parking_type
multifamily,has_commercial_space,Has Commercial Space,boolean,—,false,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,has_commercial_space,tbl_multifamily_property.has_commercial_space,tbl_multifamily_property,has_commercial_space,PATCHED_v3,True,,tbl_multifamily_property.has_commercial_space
multifamily,commercial_sf,Commercial SF,integer,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,commercial_sf,tbl_multifamily_property.commercial_sf,tbl_multifamily_property,commercial_sf,PATCHED_v3,True,,tbl_multifamily_property.commercial_sf
multifamily,commercial_unit_count,Commercial Units,integer,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,commercial_unit_count,tbl_multifamily_property.commercial_unit_count,tbl_multifamily_property,commercial_unit_count,PATCHED_v3,True,,tbl_multifamily_property.commercial_unit_count
multifamily,commercial_type,Commercial Type,text,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,commercial_type,tbl_multifamily_property.commercial_type,tbl_multifamily_property,commercial_type,PATCHED_v3,True,,tbl_multifamily_property.commercial_type
multifamily,unit_type_name,Unit Type Name,text,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,unit_type_name,tbl_multifamily_unit_type.unit_type_name,tbl_multifamily_unit_type,unit_type_name,PATCHED_v3,True,,tbl_multifamily_unit_type.unit_type_name
multifamily,unit_type_sf,Unit Type Avg SF,integer,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,avg_square_feet,tbl_multifamily_unit_type.avg_square_feet,tbl_multifamily_unit_type,avg_square_feet,PATCHED_v3,True,,tbl_multifamily_unit_type.avg_square_feet
multifamily,bedrooms,Bedrooms,integer,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,bedrooms,tbl_multifamily_unit_type.bedrooms,tbl_multifamily_unit_type,bedrooms,PATCHED_v3,True,,tbl_multifamily_unit_type.bedrooms
multifamily,bathrooms,Bathrooms,decimal,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,bathrooms,tbl_multifamily_unit_type.bathrooms,tbl_multifamily_unit_type,bathrooms,PATCHED_v3,True,,tbl_multifamily_unit_type.bathrooms
multifamily,unit_count,Unit Count (per type),integer,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,unit_count,tbl_multifamily_unit_type.unit_count,tbl_multifamily_unit_type,unit_count,PATCHED_v3,True,,tbl_multifamily_unit_type.unit_count
multifamily,market_rent,Market Rent,currency,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"comp_report,market_data,offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,market_rent,tbl_multifamily_unit_type.market_rent,tbl_multifamily_unit_type,market_rent,PATCHED_v3,True,,tbl_multifamily_unit_type.market_rent
multifamily,current_rent,Current Rent (Avg),currency,—,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,current_rent_avg,tbl_multifamily_unit_type.current_rent_avg,tbl_multifamily_unit_type,current_rent_avg,PATCHED_v3,True,,tbl_multifamily_unit_type.current_rent_avg
multifamily,concessions,Concessions,currency,—,0,medium,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,concessions_avg,tbl_multifamily_unit_type.concessions_avg,tbl_multifamily_unit_type,concessions_avg,PATCHED_v3,True,,tbl_multifamily_unit_type.concessions_avg
