field_key,label,data_type,scope,target_table,target_column,db_write_type,selector_json,evidence_types,extract_policy,description
# ============================================================
# SECTION 1: PROPERTY IDENTIFICATION (15 fields)
# ============================================================
property_name,Property Name,text,project,tbl_project,project_name,update,,offering_memorandum,validate,Legal or marketing name of the property
street_address,Street Address,text,project,tbl_project,street_address,update,,offering_memorandum,validate,Property street address
city,City,text,project,tbl_project,city,update,,offering_memorandum,validate,City where property is located
state,State,text,project,tbl_project,state,update,,offering_memorandum,validate,State abbreviation (e.g. CA)
zip_code,ZIP Code,text,project,tbl_project,zip_code,update,,offering_memorandum,validate,5-digit ZIP code
county,County,text,project,tbl_project,county,update,,offering_memorandum,validate,County name
submarket,Submarket,text,project,tbl_project,submarket,update,,offering_memorandum,validate,Real estate submarket designation
market,Market/MSA,text,project,tbl_project,market,update,,offering_memorandum,validate,Metropolitan statistical area or market name
apn_primary,Primary APN,text,project,tbl_project,apn_primary,update,,offering_memorandum,validate,Primary assessor parcel number
listing_brokerage,Listing Brokerage,text,project,tbl_project,listing_brokerage,update,,offering_memorandum,validate,Name of brokerage marketing the property
property_class,Property Class,text,project,tbl_project,property_class,update,,offering_memorandum,validate,Class A/B/C designation
property_subtype,Property Subtype,text,project,tbl_project,property_subtype,update,,offering_memorandum,validate,Garden/Mid-rise/High-rise/Mixed-use
location_lat,Latitude,number,project,tbl_project,location_lat,update,,offering_memorandum,auto,Property latitude coordinate
location_lon,Longitude,number,project,tbl_project,location_lon,update,,offering_memorandum,auto,Property longitude coordinate
location_description,Location Description,text,project,tbl_project,location_description,update,,offering_memorandum,validate,Narrative description of property location
# ============================================================
# SECTION 2: PHYSICAL CHARACTERISTICS (30 fields)
# ============================================================
total_units,Total Units,integer,project,tbl_project,total_units,update,,offering_memorandum,validate,Total residential unit count
year_built,Year Built,integer,project,tbl_project,year_built,update,,offering_memorandum,validate,Original construction year
year_renovated,Year Renovated,integer,mf_property,tbl_multifamily_property,year_renovated,update,,offering_memorandum,validate,Most recent renovation year
stories,Number of Stories,integer,project,tbl_project,stories,update,,offering_memorandum,validate,Building height in floors
number_of_buildings,Number of Buildings,integer,mf_property,tbl_multifamily_property,number_of_buildings,update,,offering_memorandum,validate,Count of buildings in complex
total_building_sf,Total Building SF,number,mf_property,tbl_multifamily_property,total_building_sf,update,,offering_memorandum,validate,Gross building square footage
rentable_sf,Rentable SF,number,project,tbl_project,gross_sf,update,,offering_memorandum,validate,Net rentable square footage
avg_unit_sf,Average Unit SF,number,mf_property,tbl_multifamily_property,avg_unit_sf,update,,offering_memorandum,validate,Average square feet per unit
lot_size_sf,Lot Size (SF),number,project,tbl_project,lot_size_sf,update,,offering_memorandum,validate,Land area in square feet
lot_size_acres,Lot Size (Acres),number,project,tbl_project,lot_size_acres,update,,offering_memorandum,validate,Land area in acres
parking_spaces_total,Total Parking Spaces,integer,mf_property,tbl_multifamily_property,parking_spaces_total,update,,offering_memorandum,validate,Total parking spaces all types
parking_ratio,Parking Ratio,number,mf_property,tbl_multifamily_property,parking_ratio,update,,offering_memorandum,validate,Parking spaces per unit
surface_spaces,Surface Parking Spaces,integer,mf_property,tbl_multifamily_property,surface_spaces,update,,offering_memorandum,validate,Open-lot surface parking count
garage_spaces,Garage Spaces,integer,mf_property,tbl_multifamily_property,garage_spaces,update,,offering_memorandum,validate,Enclosed garage parking count
covered_spaces,Covered Spaces,integer,mf_property,tbl_multifamily_property,covered_spaces,update,,offering_memorandum,validate,Carport/covered parking count
ev_charging_spaces,EV Charging Spaces,integer,mf_property,tbl_multifamily_property,ev_charging_spaces,update,,offering_memorandum,validate,Electric vehicle charging stations
